Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 86.2489, 86.2489, 0, 199
yorigincm, yfinalcm, ysteplengthcm, nRepeat = -0.908767, 48.9088, 0.25, 5
0, 15, 30, 0, 0, 0, 0.280, 1.394, 0.004

1, 15, 31, 0, 0, 0, 0.210, 1.373, 0.004

0, 15, 30, 1, 0, 0, 0.290, 1.400, 0.004

1, 15, 31, 1, 0, 0, 0.200, 1.375, 0.004

0, 15, 30, 2, 0, 0, 0.280, 1.409, 0.004

1, 15, 31, 2, 0, 0, 0.210, 1.374, 0.004

0, 15, 30, 3, 0, 0, 0.280, 1.400, 0.004

1, 15, 31, 3, 0, 0, 0.210, 1.374, 0.004

0, 15, 30, 4, 0, 0, 0.280, 1.398, 0.004

1, 15, 31, 4, 0, 0, 0.210, 1.370, 0.004

0, 15, 30, 0, 86.2489, -0.908767, 0.280, 1.395, 0.004

1, 15, 31, 0, 86.2489, -0.908767, 0.210, 1.383, 0.004

0, 15, 30, 1, 86.2489, -0.908767, 0.280, 1.392, 0.004

1, 15, 31, 1, 86.2489, -0.908767, 0.210, 1.371, 0.004

0, 15, 30, 2, 86.2489, -0.908767, 0.280, 1.395, 0.004

1, 15, 31, 2, 86.2489, -0.908767, 0.210, 1.375, 0.004

0, 15, 30, 3, 86.2489, -0.908767, 0.280, 1.394, 0.004

1, 15, 31, 3, 86.2489, -0.908767, 0.220, 1.370, 0.004

0, 15, 30, 4, 86.2489, -0.908767, 0.290, 1.393, 0.004

1, 15, 31, 4, 86.2489, -0.908767, 0.210, 1.372, 0.004

0, 15, 30, 0, 86.2489, -0.658767, 0.280, 1.398, 0.004

1, 15, 31, 0, 86.2489, -0.658767, 0.210, 1.376, 0.004

0, 15, 30, 1, 86.2489, -0.658767, 0.280, 1.395, 0.004

1, 15, 31, 1, 86.2489, -0.658767, 0.210, 1.368, 0.004

0, 15, 30, 2, 86.2489, -0.658767, 0.280, 1.399, 0.004

1, 15, 31, 2, 86.2489, -0.658767, 0.210, 1.369, 0.004

0, 15, 30, 3, 86.2489, -0.658767, 0.280, 1.397, 0.004

1, 15, 31, 3, 86.2489, -0.658767, 0.210, 1.375, 0.004

0, 15, 30, 4, 86.2489, -0.658767, 0.280, 1.398, 0.004

1, 15, 31, 4, 86.2489, -0.658767, 0.210, 1.373, 0.004

0, 15, 30, 0, 86.2489, -0.408767, 0.280, 1.391, 0.004

1, 15, 31, 0, 86.2489, -0.408767, 0.210, 1.358, 0.004

0, 15, 30, 1, 86.2489, -0.408767, 0.280, 1.393, 0.004

1, 15, 31, 1, 86.2489, -0.408767, 0.220, 1.368, 0.004

0, 15, 30, 2, 86.2489, -0.408767, 0.280, 1.389, 0.004

1, 15, 31, 2, 86.2489, -0.408767, 0.210, 1.371, 0.004

0, 15, 30, 3, 86.2489, -0.408767, 0.280, 1.405, 0.004

1, 15, 31, 3, 86.2489, -0.408767, 0.210, 1.379, 0.004

0, 15, 30, 4, 86.2489, -0.408767, 0.290, 1.395, 0.004

1, 15, 31, 4, 86.2489, -0.408767, 0.210, 1.374, 0.004

0, 15, 30, 0, 86.2489, -0.158767, 0.280, 1.396, 0.004

1, 15, 31, 0, 86.2489, -0.158767, 0.210, 1.372, 0.004

0, 15, 30, 1, 86.2489, -0.158767, 0.280, 1.400, 0.004

1, 15, 31, 1, 86.2489, -0.158767, 0.210, 1.367, 0.004

0, 15, 30, 2, 86.2489, -0.158767, 0.280, 1.387, 0.004

1, 15, 31, 2, 86.2489, -0.158767, 0.220, 1.379, 0.004

0, 15, 30, 3, 86.2489, -0.158767, 0.280, 1.403, 0.004

1, 15, 31, 3, 86.2489, -0.158767, 0.210, 1.371, 0.004

0, 15, 30, 4, 86.2489, -0.158767, 0.280, 1.396, 0.004

1, 15, 31, 4, 86.2489, -0.158767, 0.210, 1.369, 0.004

0, 15, 30, 0, 86.2489, 0.0912332, 0.290, 1.399, 0.004

1, 15, 31, 0, 86.2489, 0.0912332, 0.210, 1.381, 0.004

0, 15, 30, 1, 86.2489, 0.0912332, 0.280, 1.398, 0.004

1, 15, 31, 1, 86.2489, 0.0912332, 0.210, 1.370, 0.004

0, 15, 30, 2, 86.2489, 0.0912332, 0.280, 1.398, 0.004

1, 15, 31, 2, 86.2489, 0.0912332, 0.210, 1.366, 0.004

0, 15, 30, 3, 86.2489, 0.0912332, 0.280, 1.397, 0.004

1, 15, 31, 3, 86.2489, 0.0912332, 0.210, 1.363, 0.004

0, 15, 30, 4, 86.2489, 0.0912332, 0.280, 1.399, 0.004

1, 15, 31, 4, 86.2489, 0.0912332, 0.210, 1.368, 0.004

0, 15, 30, 0, 86.2489, 0.341233, 0.280, 1.400, 0.004

1, 15, 31, 0, 86.2489, 0.341233, 0.210, 1.375, 0.004

0, 15, 30, 1, 86.2489, 0.341233, 0.280, 1.397, 0.004

1, 15, 31, 1, 86.2489, 0.341233, 0.210, 1.376, 0.004

0, 15, 30, 2, 86.2489, 0.341233, 0.280, 1.396, 0.004

1, 15, 31, 2, 86.2489, 0.341233, 0.210, 1.373, 0.004

0, 15, 30, 3, 86.2489, 0.341233, 0.280, 1.401, 0.004

1, 15, 31, 3, 86.2489, 0.341233, 0.210, 1.371, 0.004

0, 15, 30, 4, 86.2489, 0.341233, 0.280, 1.399, 0.004

1, 15, 31, 4, 86.2489, 0.341233, 0.210, 1.370, 0.004

0, 15, 30, 0, 86.2489, 0.591233, 0.280, 1.399, 0.004

1, 15, 31, 0, 86.2489, 0.591233, 0.220, 1.374, 0.004

0, 15, 30, 1, 86.2489, 0.591233, 0.280, 1.399, 0.004

1, 15, 31, 1, 86.2489, 0.591233, 0.210, 1.370, 0.004

0, 15, 30, 2, 86.2489, 0.591233, 0.280, 1.391, 0.004

1, 15, 31, 2, 86.2489, 0.591233, 0.210, 1.370, 0.004

0, 15, 30, 3, 86.2489, 0.591233, 0.280, 1.399, 0.004

1, 15, 31, 3, 86.2489, 0.591233, 0.210, 1.379, 0.004

0, 15, 30, 4, 86.2489, 0.591233, 0.280, 1.401, 0.004

1, 15, 31, 4, 86.2489, 0.591233, 0.210, 1.368, 0.004

0, 15, 30, 0, 86.2489, 0.841233, 0.280, 1.399, 0.004

1, 15, 31, 0, 86.2489, 0.841233, 0.210, 1.362, 0.004

0, 15, 30, 1, 86.2489, 0.841233, 0.280, 1.399, 0.004

1, 15, 31, 1, 86.2489, 0.841233, 0.220, 1.383, 0.004

0, 15, 30, 2, 86.2489, 0.841233, 0.280, 1.403, 0.004

1, 15, 31, 2, 86.2489, 0.841233, 0.220, 1.371, 0.004

0, 15, 30, 3, 86.2489, 0.841233, 0.290, 1.406, 0.004

1, 15, 31, 3, 86.2489, 0.841233, 0.220, 1.369, 0.004

0, 15, 30, 4, 86.2489, 0.841233, 0.280, 1.410, 0.004

1, 15, 31, 4, 86.2489, 0.841233, 0.220, 1.367, 0.004

0, 15, 30, 0, 86.2489, 1.09123, 0.290, 1.399, 0.004

1, 15, 31, 0, 86.2489, 1.09123, 0.220, 1.371, 0.004

0, 15, 30, 1, 86.2489, 1.09123, 0.280, 1.396, 0.004

1, 15, 31, 1, 86.2489, 1.09123, 0.230, 1.370, 0.004

0, 15, 30, 2, 86.2489, 1.09123, 0.280, 1.403, 0.004

1, 15, 31, 2, 86.2489, 1.09123, 0.230, 1.373, 0.004

0, 15, 30, 3, 86.2489, 1.09123, 0.290, 1.402, 0.004

1, 15, 31, 3, 86.2489, 1.09123, 0.220, 1.375, 0.004

0, 15, 30, 4, 86.2489, 1.09123, 0.290, 1.393, 0.004

1, 15, 31, 4, 86.2489, 1.09123, 0.220, 1.375, 0.004

0, 15, 30, 0, 86.2489, 1.34123, 0.280, 1.399, 0.004

1, 15, 31, 0, 86.2489, 1.34123, 0.240, 1.372, 0.004

0, 15, 30, 1, 86.2489, 1.34123, 0.280, 1.397, 0.004

1, 15, 31, 1, 86.2489, 1.34123, 0.240, 1.377, 0.004

0, 15, 30, 2, 86.2489, 1.34123, 0.280, 1.396, 0.004

1, 15, 31, 2, 86.2489, 1.34123, 0.240, 1.375, 0.004

0, 15, 30, 3, 86.2489, 1.34123, 0.280, 1.389, 0.004

1, 15, 31, 3, 86.2489, 1.34123, 0.240, 1.371, 0.004

0, 15, 30, 4, 86.2489, 1.34123, 0.280, 1.400, 0.004

1, 15, 31, 4, 86.2489, 1.34123, 0.240, 1.371, 0.004

0, 15, 30, 0, 86.2489, 1.59123, 0.290, 1.398, 0.004

1, 15, 31, 0, 86.2489, 1.59123, 0.250, 1.375, 0.004

0, 15, 30, 1, 86.2489, 1.59123, 0.280, 1.403, 0.004

1, 15, 31, 1, 86.2489, 1.59123, 0.260, 1.368, 0.004

0, 15, 30, 2, 86.2489, 1.59123, 0.280, 1.403, 0.004

1, 15, 31, 2, 86.2489, 1.59123, 0.260, 1.367, 0.004

0, 15, 30, 3, 86.2489, 1.59123, 0.280, 1.387, 0.004

1, 15, 31, 3, 86.2489, 1.59123, 0.260, 1.372, 0.004

0, 15, 30, 4, 86.2489, 1.59123, 0.280, 1.400, 0.004

1, 15, 31, 4, 86.2489, 1.59123, 0.250, 1.386, 0.004

0, 15, 30, 0, 86.2489, 1.84123, 0.290, 1.398, 0.004

1, 15, 31, 0, 86.2489, 1.84123, 0.280, 1.374, 0.004

0, 15, 30, 1, 86.2489, 1.84123, 0.280, 1.404, 0.004

1, 15, 31, 1, 86.2489, 1.84123, 0.290, 1.372, 0.004

0, 15, 30, 2, 86.2489, 1.84123, 0.280, 1.400, 0.004

1, 15, 31, 2, 86.2489, 1.84123, 0.280, 1.367, 0.004

0, 15, 30, 3, 86.2489, 1.84123, 0.290, 1.398, 0.004

1, 15, 31, 3, 86.2489, 1.84123, 0.280, 1.370, 0.004

0, 15, 30, 4, 86.2489, 1.84123, 0.280, 1.401, 0.004

1, 15, 31, 4, 86.2489, 1.84123, 0.290, 1.371, 0.004

0, 15, 30, 0, 86.2489, 2.09123, 0.280, 1.405, 0.004

1, 15, 31, 0, 86.2489, 2.09123, 0.310, 1.375, 0.004

0, 15, 30, 1, 86.2489, 2.09123, 0.290, 1.394, 0.004

1, 15, 31, 1, 86.2489, 2.09123, 0.320, 1.368, 0.004

0, 15, 30, 2, 86.2489, 2.09123, 0.290, 1.402, 0.004

1, 15, 31, 2, 86.2489, 2.09123, 0.320, 1.367, 0.004

0, 15, 30, 3, 86.2489, 2.09123, 0.290, 1.399, 0.004

1, 15, 31, 3, 86.2489, 2.09123, 0.310, 1.370, 0.004

0, 15, 30, 4, 86.2489, 2.09123, 0.290, 1.396, 0.004

1, 15, 31, 4, 86.2489, 2.09123, 0.310, 1.364, 0.004

0, 15, 30, 0, 86.2489, 2.34123, 0.280, 1.399, 0.004

