Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 53.1299, 53.1299, 0, 129
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 7.81137, 40.1886, 0.25, 5
0, 9, 18, 0, 0, 0, 0.210, 1.398, 0.004

1, 9, 19, 0, 0, 0, 0.220, 1.375, 0.004

0, 9, 18, 1, 0, 0, 0.220, 1.402, 0.004

1, 9, 19, 1, 0, 0, 0.220, 1.375, 0.004

0, 9, 18, 2, 0, 0, 0.220, 1.404, 0.004

1, 9, 19, 2, 0, 0, 0.220, 1.365, 0.004

0, 9, 18, 3, 0, 0, 0.220, 1.405, 0.004

1, 9, 19, 3, 0, 0, 0.220, 1.372, 0.004

0, 9, 18, 4, 0, 0, 0.210, 1.405, 0.004

1, 9, 19, 4, 0, 0, 0.220, 1.376, 0.004

0, 9, 18, 0, 53.1299, 7.81137, 0.210, 1.400, 0.004

1, 9, 19, 0, 53.1299, 7.81137, 0.210, 1.372, 0.004

0, 9, 18, 1, 53.1299, 7.81137, 0.210, 1.399, 0.004

1, 9, 19, 1, 53.1299, 7.81137, 0.210, 1.367, 0.004

0, 9, 18, 2, 53.1299, 7.81137, 0.210, 1.402, 0.004

1, 9, 19, 2, 53.1299, 7.81137, 0.210, 1.381, 0.004

0, 9, 18, 3, 53.1299, 7.81137, 0.210, 1.393, 0.004

1, 9, 19, 3, 53.1299, 7.81137, 0.210, 1.380, 0.004

0, 9, 18, 4, 53.1299, 7.81137, 0.210, 1.397, 0.004

1, 9, 19, 4, 53.1299, 7.81137, 0.210, 1.376, 0.004

0, 9, 18, 0, 53.1299, 8.06137, 0.210, 1.406, 0.004

1, 9, 19, 0, 53.1299, 8.06137, 0.210, 1.366, 0.004

0, 9, 18, 1, 53.1299, 8.06137, 0.210, 1.400, 0.004

1, 9, 19, 1, 53.1299, 8.06137, 0.210, 1.368, 0.004

0, 9, 18, 2, 53.1299, 8.06137, 0.210, 1.402, 0.004

1, 9, 19, 2, 53.1299, 8.06137, 0.210, 1.375, 0.004

0, 9, 18, 3, 53.1299, 8.06137, 0.210, 1.407, 0.004

1, 9, 19, 3, 53.1299, 8.06137, 0.210, 1.372, 0.004

0, 9, 18, 4, 53.1299, 8.06137, 0.210, 1.397, 0.004

1, 9, 19, 4, 53.1299, 8.06137, 0.210, 1.382, 0.004

0, 9, 18, 0, 53.1299, 8.31137, 0.210, 1.404, 0.004

1, 9, 19, 0, 53.1299, 8.31137, 0.210, 1.375, 0.004

0, 9, 18, 1, 53.1299, 8.31137, 0.210, 1.398, 0.004

1, 9, 19, 1, 53.1299, 8.31137, 0.210, 1.364, 0.004

0, 9, 18, 2, 53.1299, 8.31137, 0.210, 1.402, 0.004

1, 9, 19, 2, 53.1299, 8.31137, 0.210, 1.369, 0.004

0, 9, 18, 3, 53.1299, 8.31137, 0.210, 1.393, 0.004

1, 9, 19, 3, 53.1299, 8.31137, 0.210, 1.380, 0.004

0, 9, 18, 4, 53.1299, 8.31137, 0.210, 1.395, 0.004

1, 9, 19, 4, 53.1299, 8.31137, 0.210, 1.373, 0.004

0, 9, 18, 0, 53.1299, 8.56137, 0.210, 1.397, 0.004

1, 9, 19, 0, 53.1299, 8.56137, 0.210, 1.387, 0.004

0, 9, 18, 1, 53.1299, 8.56137, 0.210, 1.404, 0.004

1, 9, 19, 1, 53.1299, 8.56137, 0.210, 1.368, 0.004

0, 9, 18, 2, 53.1299, 8.56137, 0.210, 1.401, 0.004

1, 9, 19, 2, 53.1299, 8.56137, 0.220, 1.375, 0.004

0, 9, 18, 3, 53.1299, 8.56137, 0.210, 1.396, 0.004

1, 9, 19, 3, 53.1299, 8.56137, 0.210, 1.378, 0.004

0, 9, 18, 4, 53.1299, 8.56137, 0.210, 1.398, 0.004

1, 9, 19, 4, 53.1299, 8.56137, 0.210, 1.383, 0.004

0, 9, 18, 0, 53.1299, 8.81137, 0.200, 1.399, 0.004

1, 9, 19, 0, 53.1299, 8.81137, 0.210, 1.373, 0.004

0, 9, 18, 1, 53.1299, 8.81137, 0.210, 1.396, 0.004

1, 9, 19, 1, 53.1299, 8.81137, 0.220, 1.375, 0.004

0, 9, 18, 2, 53.1299, 8.81137, 0.200, 1.407, 0.004

1, 9, 19, 2, 53.1299, 8.81137, 0.210, 1.373, 0.004

0, 9, 18, 3, 53.1299, 8.81137, 0.200, 1.397, 0.004

1, 9, 19, 3, 53.1299, 8.81137, 0.210, 1.373, 0.004

0, 9, 18, 4, 53.1299, 8.81137, 0.200, 1.399, 0.004

1, 9, 19, 4, 53.1299, 8.81137, 0.210, 1.375, 0.004

0, 9, 18, 0, 53.1299, 9.06137, 0.210, 1.398, 0.004

1, 9, 19, 0, 53.1299, 9.06137, 0.230, 1.381, 0.004

0, 9, 18, 1, 53.1299, 9.06137, 0.210, 1.400, 0.004

1, 9, 19, 1, 53.1299, 9.06137, 0.230, 1.369, 0.004

0, 9, 18, 2, 53.1299, 9.06137, 0.210, 1.396, 0.004

1, 9, 19, 2, 53.1299, 9.06137, 0.230, 1.382, 0.004

0, 9, 18, 3, 53.1299, 9.06137, 0.200, 1.408, 0.004

1, 9, 19, 3, 53.1299, 9.06137, 0.220, 1.370, 0.004

0, 9, 18, 4, 53.1299, 9.06137, 0.210, 1.397, 0.004

1, 9, 19, 4, 53.1299, 9.06137, 0.230, 1.373, 0.004

0, 9, 18, 0, 53.1299, 9.31137, 0.200, 1.397, 0.004

1, 9, 19, 0, 53.1299, 9.31137, 0.270, 1.384, 0.004

0, 9, 18, 1, 53.1299, 9.31137, 0.200, 1.398, 0.004

1, 9, 19, 1, 53.1299, 9.31137, 0.270, 1.374, 0.004

0, 9, 18, 2, 53.1299, 9.31137, 0.210, 1.400, 0.004

1, 9, 19, 2, 53.1299, 9.31137, 0.270, 1.377, 0.004

0, 9, 18, 3, 53.1299, 9.31137, 0.200, 1.406, 0.004

1, 9, 19, 3, 53.1299, 9.31137, 0.260, 1.377, 0.004

0, 9, 18, 4, 53.1299, 9.31137, 0.210, 1.406, 0.004

1, 9, 19, 4, 53.1299, 9.31137, 0.280, 1.357, 0.004

0, 9, 18, 0, 53.1299, 9.56137, 0.210, 1.394, 0.004

1, 9, 19, 0, 53.1299, 9.56137, 0.330, 1.376, 0.004

0, 9, 18, 1, 53.1299, 9.56137, 0.200, 1.398, 0.004

1, 9, 19, 1, 53.1299, 9.56137, 0.330, 1.373, 0.004

