Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 47.6118, 47.6118, 0, 117
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 9.26425, 38.7357, 0.25, 5
0, 8, 16, 0, 0, 0, 0.290, 1.401, 0.004

1, 8, 17, 0, 0, 0, 0.310, 1.380, 0.004

0, 8, 16, 1, 0, 0, 0.290, 1.390, 0.004

1, 8, 17, 1, 0, 0, 0.300, 1.380, 0.004

0, 8, 16, 2, 0, 0, 0.290, 1.396, 0.004

1, 8, 17, 2, 0, 0, 0.310, 1.386, 0.004

0, 8, 16, 3, 0, 0, 0.290, 1.391, 0.004

1, 8, 17, 3, 0, 0, 0.310, 1.383, 0.004

0, 8, 16, 4, 0, 0, 0.290, 1.398, 0.004

1, 8, 17, 4, 0, 0, 0.310, 1.388, 0.004

0, 8, 16, 0, 47.6118, 9.26425, 0.280, 1.401, 0.004

1, 8, 17, 0, 47.6118, 9.26425, 0.300, 1.373, 0.004

0, 8, 16, 1, 47.6118, 9.26425, 0.280, 1.396, 0.004

1, 8, 17, 1, 47.6118, 9.26425, 0.290, 1.383, 0.004

0, 8, 16, 2, 47.6118, 9.26425, 0.280, 1.395, 0.004

1, 8, 17, 2, 47.6118, 9.26425, 0.290, 1.384, 0.004

0, 8, 16, 3, 47.6118, 9.26425, 0.280, 1.399, 0.004

1, 8, 17, 3, 47.6118, 9.26425, 0.290, 1.383, 0.004

0, 8, 16, 4, 47.6118, 9.26425, 0.280, 1.398, 0.004

1, 8, 17, 4, 47.6118, 9.26425, 0.290, 1.379, 0.004

0, 8, 16, 0, 47.6118, 9.51425, 0.280, 1.396, 0.004

1, 8, 17, 0, 47.6118, 9.51425, 0.290, 1.372, 0.004

0, 8, 16, 1, 47.6118, 9.51425, 0.280, 1.398, 0.004

1, 8, 17, 1, 47.6118, 9.51425, 0.290, 1.381, 0.004

0, 8, 16, 2, 47.6118, 9.51425, 0.280, 1.396, 0.004

1, 8, 17, 2, 47.6118, 9.51425, 0.300, 1.386, 0.004

0, 8, 16, 3, 47.6118, 9.51425, 0.280, 1.398, 0.004

1, 8, 17, 3, 47.6118, 9.51425, 0.290, 1.382, 0.004

0, 8, 16, 4, 47.6118, 9.51425, 0.280, 1.400, 0.004

1, 8, 17, 4, 47.6118, 9.51425, 0.300, 1.374, 0.004

0, 8, 16, 0, 47.6118, 9.76425, 0.280, 1.405, 0.004

1, 8, 17, 0, 47.6118, 9.76425, 0.280, 1.381, 0.004

0, 8, 16, 1, 47.6118, 9.76425, 0.280, 1.397, 0.004

1, 8, 17, 1, 47.6118, 9.76425, 0.300, 1.374, 0.004

0, 8, 16, 2, 47.6118, 9.76425, 0.280, 1.396, 0.004

1, 8, 17, 2, 47.6118, 9.76425, 0.280, 1.383, 0.004

0, 8, 16, 3, 47.6118, 9.76425, 0.280, 1.390, 0.004

1, 8, 17, 3, 47.6118, 9.76425, 0.290, 1.377, 0.004

0, 8, 16, 4, 47.6118, 9.76425, 0.280, 1.400, 0.004

1, 8, 17, 4, 47.6118, 9.76425, 0.290, 1.379, 0.004

0, 8, 16, 0, 47.6118, 10.0143, 0.280, 1.396, 0.004

1, 8, 17, 0, 47.6118, 10.0143, 0.310, 1.388, 0.004

0, 8, 16, 1, 47.6118, 10.0143, 0.280, 1.404, 0.004

1, 8, 17, 1, 47.6118, 10.0143, 0.290, 1.394, 0.004

0, 8, 16, 2, 47.6118, 10.0143, 0.270, 1.403, 0.004

1, 8, 17, 2, 47.6118, 10.0143, 0.280, 1.376, 0.004

0, 8, 16, 3, 47.6118, 10.0143, 0.280, 1.399, 0.004

1, 8, 17, 3, 47.6118, 10.0143, 0.310, 1.384, 0.004

0, 8, 16, 4, 47.6118, 10.0143, 0.280, 1.388, 0.004

1, 8, 17, 4, 47.6118, 10.0143, 0.290, 1.384, 0.004

0, 8, 16, 0, 47.6118, 10.2643, 0.270, 1.401, 0.004

