Test Sector:
Device ID, Channel, Tile ID, trial, x, y, temp, temp_control, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 36.5754, 36.5754, 0, 94
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 12.17, 35.83, 0.25, 5
0, 6, 12, 0, 0, 0, 29.10, 27.15, 0.270, 1.382, 0.004

1, 6, 13, 0, 0, 0, 26.66, 27.15, 0.260, 1.383, 0.004

0, 6, 12, 1, 0, 0, 29.10, 27.15, 0.280, 1.387, 0.004

1, 6, 13, 1, 0, 0, 26.66, 27.15, 0.260, 1.379, 0.004

0, 6, 12, 2, 0, 0, 29.10, 27.15, 0.280, 1.386, 0.004

1, 6, 13, 2, 0, 0, 26.66, 27.15, 0.260, 1.386, 0.004

0, 6, 12, 3, 0, 0, 29.10, 27.15, 0.270, 1.391, 0.004

1, 6, 13, 3, 0, 0, 26.66, 27.15, 0.260, 1.380, 0.004

0, 6, 12, 4, 0, 0, 29.10, 27.15, 0.270, 1.384, 0.004

1, 6, 13, 4, 0, 0, 26.66, 27.15, 0.260, 1.383, 0.004

0, 6, 12, 0, 36.5754, 12.17, 25.68, 27.15, 0.270, 1.396, 0.004

1, 6, 13, 0, 36.5754, 12.17, 27.15, 27.15, 0.260, 1.380, 0.004

0, 6, 12, 1, 36.5754, 12.17, 25.68, 27.15, 0.270, 1.386, 0.004

1, 6, 13, 1, 36.5754, 12.17, 27.15, 27.15, 0.270, 1.384, 0.004

0, 6, 12, 2, 36.5754, 12.17, 25.68, 27.15, 0.270, 1.392, 0.004

1, 6, 13, 2, 36.5754, 12.17, 27.15, 27.15, 0.260, 1.380, 0.004

0, 6, 12, 3, 36.5754, 12.17, 25.68, 27.15, 0.270, 1.392, 0.004

1, 6, 13, 3, 36.5754, 12.17, 27.15, 27.15, 0.260, 1.379, 0.004

0, 6, 12, 4, 36.5754, 12.17, 25.68, 27.15, 0.270, 1.392, 0.004

1, 6, 13, 4, 36.5754, 12.17, 27.15, 27.15, 0.260, 1.369, 0.004

0, 6, 12, 0, 36.5754, 12.42, 26.17, 25.68, 0.270, 1.390, 0.004

1, 6, 13, 0, 36.5754, 12.42, 26.17, 25.68, 0.270, 1.386, 0.004

0, 6, 12, 1, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.381, 0.004

1, 6, 13, 1, 36.5754, 12.42, 26.17, 25.68, 0.270, 1.384, 0.004

0, 6, 12, 2, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.398, 0.004

1, 6, 13, 2, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.381, 0.004

0, 6, 12, 3, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.386, 0.004

1, 6, 13, 3, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.379, 0.004

0, 6, 12, 4, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.394, 0.004

1, 6, 13, 4, 36.5754, 12.42, 26.17, 25.68, 0.260, 1.386, 0.004

0, 6, 12, 0, 36.5754, 12.67, 25.20, 25.68, 0.260, 1.391, 0.004

1, 6, 13, 0, 36.5754, 12.67, 26.66, 25.68, 0.260, 1.381, 0.004

