Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 31.0573, 31.0573, 0, 83
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 13.6227, 34.3773, 0.25, 5
0, 5, 10, 0, 0, 0, 0.250, 1.393, 0.004

1, 5, 11, 0, 0, 0, 0.250, 1.387, 0.004

0, 5, 10, 1, 0, 0, 0.240, 1.387, 0.004

1, 5, 11, 1, 0, 0, 0.250, 1.382, 0.004

0, 5, 10, 2, 0, 0, 0.250, 1.386, 0.004

1, 5, 11, 2, 0, 0, 0.250, 1.382, 0.004

0, 5, 10, 3, 0, 0, 0.250, 1.397, 0.004

1, 5, 11, 3, 0, 0, 0.250, 1.386, 0.004

0, 5, 10, 4, 0, 0, 0.250, 1.388, 0.004

1, 5, 11, 4, 0, 0, 0.250, 1.378, 0.004

0, 5, 10, 0, 31.0573, 13.6227, 0.250, 1.384, 0.004

1, 5, 11, 0, 31.0573, 13.6227, 0.260, 1.376, 0.004

0, 5, 10, 1, 31.0573, 13.6227, 0.250, 1.387, 0.004

1, 5, 11, 1, 31.0573, 13.6227, 0.250, 1.378, 0.004

0, 5, 10, 2, 31.0573, 13.6227, 0.250, 1.389, 0.004

1, 5, 11, 2, 31.0573, 13.6227, 0.250, 1.375, 0.004

0, 5, 10, 3, 31.0573, 13.6227, 0.250, 1.392, 0.004

1, 5, 11, 3, 31.0573, 13.6227, 0.250, 1.377, 0.004

0, 5, 10, 4, 31.0573, 13.6227, 0.240, 1.387, 0.004

1, 5, 11, 4, 31.0573, 13.6227, 0.250, 1.380, 0.004

0, 5, 10, 0, 31.0573, 13.8727, 0.250, 1.389, 0.004

1, 5, 11, 0, 31.0573, 13.8727, 0.250, 1.395, 0.004

0, 5, 10, 1, 31.0573, 13.8727, 0.250, 1.402, 0.004

1, 5, 11, 1, 31.0573, 13.8727, 0.250, 1.386, 0.004

0, 5, 10, 2, 31.0573, 13.8727, 0.250, 1.390, 0.004

1, 5, 11, 2, 31.0573, 13.8727, 0.250, 1.385, 0.004

0, 5, 10, 3, 31.0573, 13.8727, 0.250, 1.385, 0.004

1, 5, 11, 3, 31.0573, 13.8727, 0.250, 1.378, 0.004

0, 5, 10, 4, 31.0573, 13.8727, 0.240, 1.384, 0.004

1, 5, 11, 4, 31.0573, 13.8727, 0.250, 1.387, 0.004

0, 5, 10, 0, 31.0573, 14.1227, 0.250, 1.385, 0.004

1, 5, 11, 0, 31.0573, 14.1227, 0.250, 1.384, 0.004

0, 5, 10, 1, 31.0573, 14.1227, 0.250, 1.389, 0.004

1, 5, 11, 1, 31.0573, 14.1227, 0.260, 1.378, 0.004

0, 5, 10, 2, 31.0573, 14.1227, 0.250, 1.385, 0.004

1, 5, 11, 2, 31.0573, 14.1227, 0.250, 1.374, 0.004

0, 5, 10, 3, 31.0573, 14.1227, 0.250, 1.391, 0.004

1, 5, 11, 3, 31.0573, 14.1227, 0.260, 1.387, 0.004

0, 5, 10, 4, 31.0573, 14.1227, 0.250, 1.390, 0.004

1, 5, 11, 4, 31.0573, 14.1227, 0.250, 1.389, 0.004

0, 5, 10, 0, 31.0573, 14.3727, 0.250, 1.389, 0.004

1, 5, 11, 0, 31.0573, 14.3727, 0.260, 1.382, 0.004

0, 5, 10, 1, 31.0573, 14.3727, 0.250, 1.388, 0.004

1, 5, 11, 1, 31.0573, 14.3727, 0.260, 1.390, 0.004

0, 5, 10, 2, 31.0573, 14.3727, 0.250, 1.388, 0.004

1, 5, 11, 2, 31.0573, 14.3727, 0.250, 1.389, 0.004

0, 5, 10, 3, 31.0573, 14.3727, 0.250, 1.388, 0.004

1, 5, 11, 3, 31.0573, 14.3727, 0.250, 1.384, 0.004

0, 5, 10, 4, 31.0573, 14.3727, 0.250, 1.394, 0.004

1, 5, 11, 4, 31.0573, 14.3727, 0.260, 1.383, 0.004

0, 5, 10, 0, 31.0573, 14.6227, 0.250, 1.386, 0.004

1, 5, 11, 0, 31.0573, 14.6227, 0.260, 1.383, 0.004

0, 5, 10, 1, 31.0573, 14.6227, 0.250, 1.397, 0.004

1, 5, 11, 1, 31.0573, 14.6227, 0.260, 1.381, 0.004

0, 5, 10, 2, 31.0573, 14.6227, 0.250, 1.381, 0.004

1, 5, 11, 2, 31.0573, 14.6227, 0.260, 1.382, 0.004

0, 5, 10, 3, 31.0573, 14.6227, 0.250, 1.385, 0.004

1, 5, 11, 3, 31.0573, 14.6227, 0.260, 1.392, 0.004

0, 5, 10, 4, 31.0573, 14.6227, 0.240, 1.391, 0.004

1, 5, 11, 4, 31.0573, 14.6227, 0.260, 1.386, 0.004

0, 5, 10, 0, 31.0573, 14.8727, 0.250, 1.385, 0.004

1, 5, 11, 0, 31.0573, 14.8727, 0.260, 1.390, 0.004

0, 5, 10, 1, 31.0573, 14.8727, 0.250, 1.390, 0.004

1, 5, 11, 1, 31.0573, 14.8727, 0.260, 1.383, 0.004

0, 5, 10, 2, 31.0573, 14.8727, 0.250, 1.391, 0.004

1, 5, 11, 2, 31.0573, 14.8727, 0.260, 1.385, 0.004

0, 5, 10, 3, 31.0573, 14.8727, 0.250, 1.389, 0.004

1, 5, 11, 3, 31.0573, 14.8727, 0.260, 1.383, 0.004

0, 5, 10, 4, 31.0573, 14.8727, 0.250, 1.386, 0.004

1, 5, 11, 4, 31.0573, 14.8727, 0.260, 1.383, 0.004

