Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 36.5754, 36.5754, 0, 94
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 12.17, 35.83, 0.25, 5
0, 6, 12, 0, 0, 0, 0.260, 1.394, 0.004

1, 6, 13, 0, 0, 0, 0.250, 1.386, 0.004

0, 6, 12, 1, 0, 0, 0.260, 1.381, 0.004

1, 6, 13, 1, 0, 0, 0.250, 1.379, 0.004

0, 6, 12, 2, 0, 0, 0.260, 1.392, 0.004

1, 6, 13, 2, 0, 0, 0.250, 1.386, 0.004

0, 6, 12, 3, 0, 0, 0.260, 1.386, 0.004

1, 6, 13, 3, 0, 0, 0.250, 1.386, 0.004

0, 6, 12, 4, 0, 0, 0.260, 1.391, 0.004

1, 6, 13, 4, 0, 0, 0.250, 1.390, 0.004

0, 6, 12, 0, 36.5754, 12.17, 0.260, 1.384, 0.004

1, 6, 13, 0, 36.5754, 12.17, 0.260, 1.382, 0.004

0, 6, 12, 1, 36.5754, 12.17, 0.260, 1.387, 0.004

1, 6, 13, 1, 36.5754, 12.17, 0.250, 1.382, 0.004

0, 6, 12, 2, 36.5754, 12.17, 0.260, 1.388, 0.004

1, 6, 13, 2, 36.5754, 12.17, 0.260, 1.380, 0.004

0, 6, 12, 3, 36.5754, 12.17, 0.270, 1.388, 0.004

1, 6, 13, 3, 36.5754, 12.17, 0.250, 1.386, 0.004

0, 6, 12, 4, 36.5754, 12.17, 0.260, 1.395, 0.004

1, 6, 13, 4, 36.5754, 12.17, 0.260, 1.392, 0.004

0, 6, 12, 0, 36.5754, 12.42, 0.260, 1.387, 0.004

1, 6, 13, 0, 36.5754, 12.42, 0.260, 1.373, 0.004

0, 6, 12, 1, 36.5754, 12.42, 0.260, 1.392, 0.004

1, 6, 13, 1, 36.5754, 12.42, 0.260, 1.385, 0.004

0, 6, 12, 2, 36.5754, 12.42, 0.260, 1.393, 0.004

1, 6, 13, 2, 36.5754, 12.42, 0.260, 1.385, 0.004

0, 6, 12, 3, 36.5754, 12.42, 0.260, 1.391, 0.004

1, 6, 13, 3, 36.5754, 12.42, 0.260, 1.377, 0.004

0, 6, 12, 4, 36.5754, 12.42, 0.260, 1.391, 0.004

1, 6, 13, 4, 36.5754, 12.42, 0.260, 1.381, 0.004

0, 6, 12, 0, 36.5754, 12.67, 0.260, 1.397, 0.004

1, 6, 13, 0, 36.5754, 12.67, 0.260, 1.383, 0.004

0, 6, 12, 1, 36.5754, 12.67, 0.260, 1.399, 0.004

1, 6, 13, 1, 36.5754, 12.67, 0.260, 1.380, 0.004

0, 6, 12, 2, 36.5754, 12.67, 0.260, 1.389, 0.004

1, 6, 13, 2, 36.5754, 12.67, 0.260, 1.382, 0.004

0, 6, 12, 3, 36.5754, 12.67, 0.260, 1.387, 0.004

1, 6, 13, 3, 36.5754, 12.67, 0.250, 1.383, 0.004

0, 6, 12, 4, 36.5754, 12.67, 0.260, 1.391, 0.004

1, 6, 13, 4, 36.5754, 12.67, 0.260, 1.383, 0.004

