Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 86.2489, 86.2489, 0, 199
yorigincm, yfinalcm, ysteplengthcm, nRepeat = -0.908767, 48.9088, 0.25, 5
0, 15, 30, 0, 0, 0, 0.240, 1.407, 0.004

1, 15, 31, 0, 0, 0, 0.180, 1.372, 0.004

0, 15, 30, 1, 0, 0, 0.240, 1.405, 0.004

1, 15, 31, 1, 0, 0, 0.180, 1.382, 0.004

0, 15, 30, 2, 0, 0, 0.230, 1.413, 0.004

1, 15, 31, 2, 0, 0, 0.180, 1.375, 0.004

0, 15, 30, 3, 0, 0, 0.240, 1.402, 0.004

1, 15, 31, 3, 0, 0, 0.170, 1.374, 0.004

0, 15, 30, 4, 0, 0, 0.240, 1.405, 0.004

1, 15, 31, 4, 0, 0, 0.170, 1.381, 0.004

0, 15, 30, 0, 86.2489, -0.908767, 0.240, 1.398, 0.004

1, 15, 31, 0, 86.2489, -0.908767, 0.190, 1.382, 0.004

0, 15, 30, 1, 86.2489, -0.908767, 0.230, 1.406, 0.004

1, 15, 31, 1, 86.2489, -0.908767, 0.190, 1.375, 0.004

0, 15, 30, 2, 86.2489, -0.908767, 0.240, 1.395, 0.004

1, 15, 31, 2, 86.2489, -0.908767, 0.190, 1.379, 0.004

0, 15, 30, 3, 86.2489, -0.908767, 0.240, 1.400, 0.004

1, 15, 31, 3, 86.2489, -0.908767, 0.190, 1.370, 0.004

0, 15, 30, 4, 86.2489, -0.908767, 0.230, 1.409, 0.004

1, 15, 31, 4, 86.2489, -0.908767, 0.190, 1.374, 0.004

0, 15, 30, 0, 86.2489, -0.658767, 0.230, 1.411, 0.004

1, 15, 31, 0, 86.2489, -0.658767, 0.190, 1.384, 0.004

0, 15, 30, 1, 86.2489, -0.658767, 0.240, 1.401, 0.004

1, 15, 31, 1, 86.2489, -0.658767, 0.190, 1.373, 0.004

0, 15, 30, 2, 86.2489, -0.658767, 0.230, 1.407, 0.004

1, 15, 31, 2, 86.2489, -0.658767, 0.190, 1.381, 0.004

0, 15, 30, 3, 86.2489, -0.658767, 0.240, 1.409, 0.004

1, 15, 31, 3, 86.2489, -0.658767, 0.190, 1.376, 0.004

0, 15, 30, 4, 86.2489, -0.658767, 0.230, 1.405, 0.004

1, 15, 31, 4, 86.2489, -0.658767, 0.190, 1.375, 0.004

0, 15, 30, 0, 86.2489, -0.408767, 0.240, 1.408, 0.004

1, 15, 31, 0, 86.2489, -0.408767, 0.190, 1.375, 0.004

0, 15, 30, 1, 86.2489, -0.408767, 0.240, 1.408, 0.004

1, 15, 31, 1, 86.2489, -0.408767, 0.190, 1.375, 0.004

0, 15, 30, 2, 86.2489, -0.408767, 0.240, 1.405, 0.004

1, 15, 31, 2, 86.2489, -0.408767, 0.190, 1.374, 0.004

0, 15, 30, 3, 86.2489, -0.408767, 0.240, 1.402, 0.004

1, 15, 31, 3, 86.2489, -0.408767, 0.190, 1.370, 0.004

0, 15, 30, 4, 86.2489, -0.408767, 0.240, 1.403, 0.004

1, 15, 31, 4, 86.2489, -0.408767, 0.190, 1.372, 0.004

0, 15, 30, 0, 86.2489, -0.158767, 0.240, 1.399, 0.004

1, 15, 31, 0, 86.2489, -0.158767, 0.190, 1.374, 0.004

0, 15, 30, 1, 86.2489, -0.158767, 0.230, 1.405, 0.004

1, 15, 31, 1, 86.2489, -0.158767, 0.190, 1.379, 0.004

0, 15, 30, 2, 86.2489, -0.158767, 0.240, 1.399, 0.004

1, 15, 31, 2, 86.2489, -0.158767, 0.200, 1.371, 0.004

0, 15, 30, 3, 86.2489, -0.158767, 0.240, 1.399, 0.004

1, 15, 31, 3, 86.2489, -0.158767, 0.190, 1.370, 0.004

0, 15, 30, 4, 86.2489, -0.158767, 0.240, 1.404, 0.004

1, 15, 31, 4, 86.2489, -0.158767, 0.190, 1.365, 0.004

0, 15, 30, 0, 86.2489, 0.0912332, 0.240, 1.414, 0.004

1, 15, 31, 0, 86.2489, 0.0912332, 0.190, 1.379, 0.004

0, 15, 30, 1, 86.2489, 0.0912332, 0.230, 1.401, 0.004

1, 15, 31, 1, 86.2489, 0.0912332, 0.190, 1.370, 0.004

0, 15, 30, 2, 86.2489, 0.0912332, 0.230, 1.409, 0.004

1, 15, 31, 2, 86.2489, 0.0912332, 0.200, 1.383, 0.004

0, 15, 30, 3, 86.2489, 0.0912332, 0.230, 1.401, 0.004

1, 15, 31, 3, 86.2489, 0.0912332, 0.190, 1.378, 0.004

0, 15, 30, 4, 86.2489, 0.0912332, 0.240, 1.400, 0.004

1, 15, 31, 4, 86.2489, 0.0912332, 0.190, 1.386, 0.004

0, 15, 30, 0, 86.2489, 0.341233, 0.240, 1.399, 0.004

1, 15, 31, 0, 86.2489, 0.341233, 0.210, 1.376, 0.004

0, 15, 30, 1, 86.2489, 0.341233, 0.230, 1.407, 0.004

1, 15, 31, 1, 86.2489, 0.341233, 0.210, 1.382, 0.004

0, 15, 30, 2, 86.2489, 0.341233, 0.240, 1.400, 0.004

1, 15, 31, 2, 86.2489, 0.341233, 0.210, 1.369, 0.004

0, 15, 30, 3, 86.2489, 0.341233, 0.240, 1.395, 0.004

1, 15, 31, 3, 86.2489, 0.341233, 0.210, 1.375, 0.004

0, 15, 30, 4, 86.2489, 0.341233, 0.230, 1.406, 0.004

1, 15, 31, 4, 86.2489, 0.341233, 0.210, 1.376, 0.004

0, 15, 30, 0, 86.2489, 0.591233, 0.240, 1.402, 0.004

1, 15, 31, 0, 86.2489, 0.591233, 0.240, 1.376, 0.004

0, 15, 30, 1, 86.2489, 0.591233, 0.230, 1.404, 0.004

1, 15, 31, 1, 86.2489, 0.591233, 0.240, 1.384, 0.004

0, 15, 30, 2, 86.2489, 0.591233, 0.240, 1.395, 0.004

1, 15, 31, 2, 86.2489, 0.591233, 0.240, 1.370, 0.004

0, 15, 30, 3, 86.2489, 0.591233, 0.240, 1.401, 0.004

1, 15, 31, 3, 86.2489, 0.591233, 0.240, 1.371, 0.004

0, 15, 30, 4, 86.2489, 0.591233, 0.240, 1.399, 0.004

1, 15, 31, 4, 86.2489, 0.591233, 0.250, 1.372, 0.004

0, 15, 30, 0, 86.2489, 0.841233, 0.240, 1.409, 0.004

1, 15, 31, 0, 86.2489, 0.841233, 0.270, 1.379, 0.004

0, 15, 30, 1, 86.2489, 0.841233, 0.240, 1.406, 0.004

1, 15, 31, 1, 86.2489, 0.841233, 0.260, 1.376, 0.004

0, 15, 30, 2, 86.2489, 0.841233, 0.240, 1.401, 0.004

1, 15, 31, 2, 86.2489, 0.841233, 0.260, 1.374, 0.004

0, 15, 30, 3, 86.2489, 0.841233, 0.240, 1.405, 0.004

1, 15, 31, 3, 86.2489, 0.841233, 0.260, 1.379, 0.004

0, 15, 30, 4, 86.2489, 0.841233, 0.240, 1.396, 0.004

1, 15, 31, 4, 86.2489, 0.841233, 0.280, 1.379, 0.004

0, 15, 30, 0, 86.2489, 1.09123, 0.240, 1.404, 0.004

1, 15, 31, 0, 86.2489, 1.09123, 0.280, 1.375, 0.004

0, 15, 30, 1, 86.2489, 1.09123, 0.240, 1.403, 0.004

1, 15, 31, 1, 86.2489, 1.09123, 0.290, 1.375, 0.004

0, 15, 30, 2, 86.2489, 1.09123, 0.240, 1.399, 0.004

1, 15, 31, 2, 86.2489, 1.09123, 0.300, 1.381, 0.004

0, 15, 30, 3, 86.2489, 1.09123, 0.240, 1.403, 0.004

1, 15, 31, 3, 86.2489, 1.09123, 0.290, 1.372, 0.004

0, 15, 30, 4, 86.2489, 1.09123, 0.230, 1.404, 0.004

1, 15, 31, 4, 86.2489, 1.09123, 0.280, 1.379, 0.004

0, 15, 30, 0, 86.2489, 1.34123, 0.230, 1.403, 0.004

1, 15, 31, 0, 86.2489, 1.34123, 0.300, 1.376, 0.004

0, 15, 30, 1, 86.2489, 1.34123, 0.230, 1.396, 0.004

1, 15, 31, 1, 86.2489, 1.34123, 0.300, 1.397, 0.004

0, 15, 30, 2, 86.2489, 1.34123, 0.230, 1.399, 0.004

1, 15, 31, 2, 86.2489, 1.34123, 0.310, 1.375, 0.004

0, 15, 30, 3, 86.2489, 1.34123, 0.230, 1.408, 0.004

1, 15, 31, 3, 86.2489, 1.34123, 0.310, 1.384, 0.004

0, 15, 30, 4, 86.2489, 1.34123, 0.240, 1.405, 0.004

1, 15, 31, 4, 86.2489, 1.34123, 0.310, 1.355, 0.004

0, 15, 30, 0, 86.2489, 1.59123, 0.240, 1.405, 0.004

1, 15, 31, 0, 86.2489, 1.59123, 0.300, 1.376, 0.004

0, 15, 30, 1, 86.2489, 1.59123, 0.230, 1.404, 0.004

1, 15, 31, 1, 86.2489, 1.59123, 0.320, 1.374, 0.004

0, 15, 30, 2, 86.2489, 1.59123, 0.240, 1.402, 0.004

1, 15, 31, 2, 86.2489, 1.59123, 0.310, 1.375, 0.004

0, 15, 30, 3, 86.2489, 1.59123, 0.240, 1.405, 0.004

1, 15, 31, 3, 86.2489, 1.59123, 0.310, 1.375, 0.004

0, 15, 30, 4, 86.2489, 1.59123, 0.240, 1.396, 0.004

1, 15, 31, 4, 86.2489, 1.59123, 0.330, 1.380, 0.004

0, 15, 30, 0, 86.2489, 1.84123, 0.240, 1.404, 0.004

1, 15, 31, 0, 86.2489, 1.84123, 0.320, 1.386, 0.004

0, 15, 30, 1, 86.2489, 1.84123, 0.240, 1.410, 0.004

1, 15, 31, 1, 86.2489, 1.84123, 0.310, 1.379, 0.004

0, 15, 30, 2, 86.2489, 1.84123, 0.240, 1.404, 0.004

1, 15, 31, 2, 86.2489, 1.84123, 0.320, 1.366, 0.004

0, 15, 30, 3, 86.2489, 1.84123, 0.240, 1.408, 0.004

1, 15, 31, 3, 86.2489, 1.84123, 0.320, 1.384, 0.004

0, 15, 30, 4, 86.2489, 1.84123, 0.240, 1.401, 0.004

1, 15, 31, 4, 86.2489, 1.84123, 0.340, 1.323, 0.004

0, 15, 30, 0, 86.2489, 2.09123, 0.240, 1.406, 0.004

1, 15, 31, 0, 86.2489, 2.09123, 0.320, 1.379, 0.004

0, 15, 30, 1, 86.2489, 2.09123, 0.230, 1.402, 0.004

1, 15, 31, 1, 86.2489, 2.09123, 0.340, 1.383, 0.004

0, 15, 30, 2, 86.2489, 2.09123, 0.240, 1.406, 0.004

1, 15, 31, 2, 86.2489, 2.09123, 0.320, 1.380, 0.004

0, 15, 30, 3, 86.2489, 2.09123, 0.240, 1.402, 0.004

1, 15, 31, 3, 86.2489, 2.09123, 0.330, 1.375, 0.004

0, 15, 30, 4, 86.2489, 2.09123, 0.230, 1.410, 0.004

1, 15, 31, 4, 86.2489, 2.09123, 0.330, 1.377, 0.004

0, 15, 30, 0, 86.2489, 2.34123, 0.240, 1.403, 0.004

