Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 25.5391, 25.5391, 0, 71
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 15.0755, 32.9245, 0.25, 5
0, 4, 8, 0, 0, 0, 0.210, 1.384, 0.004

1, 4, 9, 0, 0, 0, 0.260, 1.377, 0.004

0, 4, 8, 1, 0, 0, 0.200, 1.387, 0.004

1, 4, 9, 1, 0, 0, 0.260, 1.375, 0.004

0, 4, 8, 2, 0, 0, 0.200, 1.385, 0.004

1, 4, 9, 2, 0, 0, 0.260, 1.384, 0.004

0, 4, 8, 3, 0, 0, 0.200, 1.394, 0.004

1, 4, 9, 3, 0, 0, 0.260, 1.382, 0.004

0, 4, 8, 4, 0, 0, 0.210, 1.387, 0.004

1, 4, 9, 4, 0, 0, 0.260, 1.376, 0.004

0, 4, 8, 0, 25.5391, 15.0755, 0.200, 1.388, 0.004

1, 4, 9, 0, 25.5391, 15.0755, 0.270, 1.376, 0.004

0, 4, 8, 1, 25.5391, 15.0755, 0.200, 1.385, 0.004

1, 4, 9, 1, 25.5391, 15.0755, 0.260, 1.385, 0.004

0, 4, 8, 2, 25.5391, 15.0755, 0.210, 1.380, 0.004

1, 4, 9, 2, 25.5391, 15.0755, 0.270, 1.387, 0.004

0, 4, 8, 3, 25.5391, 15.0755, 0.200, 1.388, 0.004

1, 4, 9, 3, 25.5391, 15.0755, 0.270, 1.378, 0.004

0, 4, 8, 4, 25.5391, 15.0755, 0.210, 1.381, 0.004

1, 4, 9, 4, 25.5391, 15.0755, 0.270, 1.383, 0.004

0, 4, 8, 0, 25.5391, 15.3255, 0.210, 1.385, 0.004

1, 4, 9, 0, 25.5391, 15.3255, 0.260, 1.380, 0.004

0, 4, 8, 1, 25.5391, 15.3255, 0.210, 1.387, 0.004

1, 4, 9, 1, 25.5391, 15.3255, 0.270, 1.371, 0.004

0, 4, 8, 2, 25.5391, 15.3255, 0.200, 1.389, 0.004

1, 4, 9, 2, 25.5391, 15.3255, 0.260, 1.381, 0.004

0, 4, 8, 3, 25.5391, 15.3255, 0.210, 1.390, 0.004

1, 4, 9, 3, 25.5391, 15.3255, 0.270, 1.382, 0.004

0, 4, 8, 4, 25.5391, 15.3255, 0.210, 1.385, 0.004

1, 4, 9, 4, 25.5391, 15.3255, 0.270, 1.383, 0.004

0, 4, 8, 0, 25.5391, 15.5755, 0.210, 1.377, 0.004

1, 4, 9, 0, 25.5391, 15.5755, 0.260, 1.380, 0.004

0, 4, 8, 1, 25.5391, 15.5755, 0.210, 1.383, 0.004

1, 4, 9, 1, 25.5391, 15.5755, 0.260, 1.377, 0.004

0, 4, 8, 2, 25.5391, 15.5755, 0.210, 1.383, 0.004

1, 4, 9, 2, 25.5391, 15.5755, 0.260, 1.386, 0.004

0, 4, 8, 3, 25.5391, 15.5755, 0.200, 1.389, 0.004

1, 4, 9, 3, 25.5391, 15.5755, 0.260, 1.384, 0.004

0, 4, 8, 4, 25.5391, 15.5755, 0.200, 1.385, 0.004

1, 4, 9, 4, 25.5391, 15.5755, 0.270, 1.383, 0.004

0, 4, 8, 0, 25.5391, 15.8255, 0.200, 1.385, 0.004

1, 4, 9, 0, 25.5391, 15.8255, 0.260, 1.377, 0.004

0, 4, 8, 1, 25.5391, 15.8255, 0.200, 1.382, 0.004

1, 4, 9, 1, 25.5391, 15.8255, 0.260, 1.386, 0.004

0, 4, 8, 2, 25.5391, 15.8255, 0.210, 1.383, 0.004

1, 4, 9, 2, 25.5391, 15.8255, 0.260, 1.383, 0.004

0, 4, 8, 3, 25.5391, 15.8255, 0.200, 1.386, 0.004

1, 4, 9, 3, 25.5391, 15.8255, 0.260, 1.386, 0.004

0, 4, 8, 4, 25.5391, 15.8255, 0.200, 1.390, 0.004

1, 4, 9, 4, 25.5391, 15.8255, 0.270, 1.381, 0.004

0, 4, 8, 0, 25.5391, 16.0755, 0.210, 1.391, 0.004

1, 4, 9, 0, 25.5391, 16.0755, 0.270, 1.384, 0.004

0, 4, 8, 1, 25.5391, 16.0755, 0.210, 1.391, 0.004

1, 4, 9, 1, 25.5391, 16.0755, 0.270, 1.385, 0.004

0, 4, 8, 2, 25.5391, 16.0755, 0.210, 1.390, 0.004

1, 4, 9, 2, 25.5391, 16.0755, 0.270, 1.388, 0.004

0, 4, 8, 3, 25.5391, 16.0755, 0.210, 1.385, 0.004

1, 4, 9, 3, 25.5391, 16.0755, 0.270, 1.386, 0.004

0, 4, 8, 4, 25.5391, 16.0755, 0.200, 1.386, 0.004

1, 4, 9, 4, 25.5391, 16.0755, 0.270, 1.387, 0.004

0, 4, 8, 0, 25.5391, 16.3255, 0.210, 1.386, 0.004

1, 4, 9, 0, 25.5391, 16.3255, 0.280, 1.387, 0.004

0, 4, 8, 1, 25.5391, 16.3255, 0.200, 1.391, 0.004

1, 4, 9, 1, 25.5391, 16.3255, 0.280, 1.384, 0.004

0, 4, 8, 2, 25.5391, 16.3255, 0.210, 1.387, 0.004

1, 4, 9, 2, 25.5391, 16.3255, 0.280, 1.384, 0.004

0, 4, 8, 3, 25.5391, 16.3255, 0.200, 1.382, 0.004

1, 4, 9, 3, 25.5391, 16.3255, 0.280, 1.388, 0.004

0, 4, 8, 4, 25.5391, 16.3255, 0.210, 1.394, 0.004

1, 4, 9, 4, 25.5391, 16.3255, 0.270, 1.381, 0.004

0, 4, 8, 0, 25.5391, 16.5755, 0.210, 1.386, 0.004

1, 4, 9, 0, 25.5391, 16.5755, 0.290, 1.390, 0.004

0, 4, 8, 1, 25.5391, 16.5755, 0.210, 1.389, 0.004

1, 4, 9, 1, 25.5391, 16.5755, 0.290, 1.391, 0.004

0, 4, 8, 2, 25.5391, 16.5755, 0.210, 1.390, 0.004

1, 4, 9, 2, 25.5391, 16.5755, 0.280, 1.396, 0.004

0, 4, 8, 3, 25.5391, 16.5755, 0.200, 1.388, 0.004

1, 4, 9, 3, 25.5391, 16.5755, 0.280, 1.387, 0.004

0, 4, 8, 4, 25.5391, 16.5755, 0.210, 1.390, 0.004

1, 4, 9, 4, 25.5391, 16.5755, 0.280, 1.386, 0.004

0, 4, 8, 0, 25.5391, 16.8255, 0.210, 1.385, 0.004

1, 4, 9, 0, 25.5391, 16.8255, 0.300, 1.379, 0.004

0, 4, 8, 1, 25.5391, 16.8255, 0.210, 1.392, 0.004

1, 4, 9, 1, 25.5391, 16.8255, 0.300, 1.393, 0.004

0, 4, 8, 2, 25.5391, 16.8255, 0.200, 1.391, 0.004

1, 4, 9, 2, 25.5391, 16.8255, 0.300, 1.387, 0.004

0, 4, 8, 3, 25.5391, 16.8255, 0.200, 1.392, 0.004

1, 4, 9, 3, 25.5391, 16.8255, 0.300, 1.376, 0.004

0, 4, 8, 4, 25.5391, 16.8255, 0.210, 1.381, 0.004

1, 4, 9, 4, 25.5391, 16.8255, 0.310, 1.385, 0.004

0, 4, 8, 0, 25.5391, 17.0755, 0.200, 1.390, 0.004

1, 4, 9, 0, 25.5391, 17.0755, 0.360, 1.382, 0.004

0, 4, 8, 1, 25.5391, 17.0755, 0.210, 1.388, 0.004

1, 4, 9, 1, 25.5391, 17.0755, 0.350, 1.385, 0.004

0, 4, 8, 2, 25.5391, 17.0755, 0.210, 1.389, 0.004

1, 4, 9, 2, 25.5391, 17.0755, 0.360, 1.390, 0.004

0, 4, 8, 3, 25.5391, 17.0755, 0.200, 1.388, 0.004

1, 4, 9, 3, 25.5391, 17.0755, 0.370, 1.383, 0.004

0, 4, 8, 4, 25.5391, 17.0755, 0.200, 1.388, 0.004

1, 4, 9, 4, 25.5391, 17.0755, 0.350, 1.388, 0.004

0, 4, 8, 0, 25.5391, 17.3255, 0.210, 1.385, 0.004

1, 4, 9, 0, 25.5391, 17.3255, 0.420, 1.379, 0.004

0, 4, 8, 1, 25.5391, 17.3255, 0.210, 1.390, 0.004

1, 4, 9, 1, 25.5391, 17.3255, 0.410, 1.378, 0.004

0, 4, 8, 2, 25.5391, 17.3255, 0.210, 1.377, 0.004

1, 4, 9, 2, 25.5391, 17.3255, 0.420, 1.382, 0.004

0, 4, 8, 3, 25.5391, 17.3255, 0.200, 1.388, 0.004

